STA_ID,LONG,LAT,OrigHabCode,Date,THG_Fish,YEAR,SEASON,SUBAREA,HABCODE,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M090,-80.779028,25.501343,B,4/6/1995,145.2,A,D,E,Sawgrass Marsh,,,,,,,1.5,79.93,0.12,,350,0.71,160,,,484.8,1.5,677,5.68,25.11,7.39,1.45,,2.01,,,0.262,,,,6.6,,1.96,31.63,,7.52,59,,,,7.16
M056,-80.542194,25.962083,A,4/7/1995,5.2,A,D,D,Wet Prairie,,,,,,,2.8,86.69,0.1,,380,,81,,,421.25,2.7,642,4.32,24.99,7.19,0.49,,0.58,,,0.074,,,,21,,0.997,22.52,,29.3,92,,,,36.09
M057,-80.473241,25.927721,B,4/7/1995,211.4,A,D,D,Sawgrass Marsh,,,,,,,2.3,82.52,0.15,,250,0.47,180,,,306.39,2.3,657,5.54,25.64,7.33,1.29,,1.77,,,0.391,,,,5.9,,2.308,24.13,,37.1,157.3,,,,39.08
M060,-80.633786,25.900311,A,4/7/1995,250.4,A,D,D,Wet Prairie,,,,,,,4.2,89.4,0.1,,370,0.43,160,,,461.23,3,493,6.9,26.72,7.59,0.73,,1.21,,,0.419,,,,9.2,,2.24,21.92,,33.56,194.5,,,5.57,35.81
M061,-80.566725,25.889931,A,4/7/1995,156.2,A,D,D,Wet Prairie,,,,,,,3.2,85.07,0.13,,300,0.15,100,,,521.98,1.8,606,2.99,24,7.39,0.83,,1.22,,,0.471,,,,8.3,,2.19,22.87,,32.03,198.7,,,3.34,32.18
M063,-80.721625,25.811697,A,4/7/1995,270.2,A,D,D,Wet Prairie,,,,,,,4,90.34,0.08,,540,1.42,170,,,443.18,2.5,461,8.85,26.5,7.73,2.1,,2.15,,,0.751,,,,7.2,,2.81,24.99,,28.52,180,,,5.93,32.22
M069,-80.862402,25.741839,A,4/7/1995,168.8,A,D,E,Wet Prairie,,,,,,,1.1,26.12,0.36,,120,0.26,73,,,542.42,1.2,321,6.3,28.75,8.01,1.36,,1.83,,,0.114,,,,2,,2.07,13.69,,23.77,199.3,,,1.14,64.65
M070,-80.765899,25.758436,B,4/7/1995,279.5,A,D,E,Sawgrass Marsh,,,,,,,0.3,40.68,0.18,,210,1.2,96,,,477.71,1.9,459,4.45,25.86,7.47,1.46,,1.3,,,0.832,,,,5.7,,2.84,21.07,,48.28,199.3,,,,67.98
M072,-80.856988,25.677228,A,4/7/1995,71.8,A,D,E,Wet Prairie,,,,,,,0.6,35.53,0.34,,120,0.26,69,,,305.05,0.9,340,8.53,27.14,7.76,1.49,,1.81,,,0.256,,,,2,,2.82,15.7,,31.78,268.5,,,3.53,
M073,-80.778544,25.689012,A,4/7/1995,260.7,A,D,E,Wet Prairie,,,,,,,0,29.12,0.3,,120,0.12,84,,,428.56,1.6,424,12.55,29.04,8.14,1.91,,2.34,,,0.545,,,,2,,3.06,21.18,,38.29,206,,,3.96,55.33
M077,-80.822643,25.635512,A,4/7/1995,323.2,A,D,E,Wet Prairie,,,,,,,0.5,21.64,0.44,,100,0.14,54,,,339.06,1.5,408,5.85,25.35,7.53,1.2,,1.55,,,0.469,,,,2,,2.5,20.88,,32.78,202.5,,,7.53,45.21
